iter	Passed	Remaining
0	1	153
1	2	144
2	4	137
3	5	128
4	6	126
5	7	124
6	9	125
7	10	124
8	12	123
9	13	121
10	14	120
11	16	118
12	17	117
13	18	115
14	20	114
15	21	113
16	22	112
17	24	110
18	25	109
19	26	107
20	28	106
21	29	104
22	30	103
23	32	101
24	33	100
25	34	98
26	36	97
27	37	96
28	38	95
29	40	93
30	41	92
31	42	91
32	44	89
33	45	88
34	46	86
35	48	85
36	49	84
37	51	83
38	52	81
39	53	80
40	54	79
41	55	76
42	56	75
43	58	74
44	59	72
45	60	71
46	62	70
47	63	69
48	65	67
49	66	66
50	67	65
51	69	63
52	70	62
53	71	61
54	72	59
55	73	58
56	75	56
57	76	55
58	77	54
59	79	52
60	80	51
61	81	50
62	83	48
63	84	47
64	85	46
65	87	44
66	88	43
67	89	42
68	91	41
69	92	39
70	93	38
71	95	37
72	96	35
73	97	34
74	99	33
75	100	31
76	101	30
77	103	29
78	104	27
79	105	26
80	107	25
81	108	23
82	109	22
83	111	21
84	112	19
85	113	18
86	115	17
87	116	15
88	117	14
89	119	13
90	120	11
91	122	10
92	123	9
93	124	7
94	126	6
95	127	5
96	128	3
97	130	2
98	131	1
99	132	0
